Change number	Description	Valid From	Authorization group	Reason for Change	Change Status	Created on	Created by
7110	007-New Label & Remove Partition        	1/18/2011	    	                                        	1	1/18/2011	CMCDADE     
7111	007-New Label & Remove Partition Wtly   	1/18/2011	    	                                        	2	1/18/2011	CMCDADE     
7112	"007- New Back Label- WtrLy,             "	1/18/2011	    	                                        	2	1/18/2011	CMCDADE     
7113	007-Remove Partition for Orginal Sku for	1/18/2011	    	                                        	2	1/18/2011	CMCDADE     
7114	007- New PSPaper Back Label- Orginal for	1/18/2011	    	                                        	2	1/18/2011	CMCDADE     
7115	007-Remove Partition for Tng Sku        	1/18/2011	    	                                        	2	1/18/2011	CMCDADE     
7116	007- New PSPaper Back Label- Tang SKu   	1/18/2011	    	                                        	2	1/18/2011	CMCDADE     
7117	007-Remove Partition for F&C Sku for 007	1/18/2011	    	                                        	2	1/18/2011	CMCDADE     
7118	007- New PSPaper Back Label- F&C for    	1/18/2011	    	                                        	2	1/18/2011	CMCDADE     
7119	Big Boy FERT Name Change                	1/18/2011	    	                                        	2	1/18/2011	CMCDADE     
7120	Updating Recipe 1892 From Customer      	1/18/2011	    	                                        	2	1/18/2011	JSTRATTO    
7121	Gigo raw material update                	1/18/2011	    	                                        	2	1/18/2011	CSTETTLE    
7122	Correct CU dimensions.                  	1/19/2011	    	                                        	2	1/19/2011	JTODD       
7123	BOM Qty Change                          	1/19/2011	    	                                        	2	1/19/2011	GHAY        
7124	14536	1/19/2011	    	                                        	2	1/19/2011	GHAY        
7125	BOM Qty Change                          	1/20/2011	    	                                        	2	1/19/2011	GHAY        
7126	add updated label to recipe             	1/19/2011	    	                                        	2	1/19/2011	PHUNTER     
7127	Gigo raw material update                	1/19/2011	    	                                        	2	1/19/2011	CSTETTLE    
7128	Cleanse Spec/Rec Descriptions           	1/19/2011	    	                                        	2	1/19/2011	KKLOTTER    
7129	Add alternate tie sheet to recipe       	1/20/2011	    	                                        	2	1/20/2011	JHYUN       
7130	Cleanse Spec Recipe Descriptions for    	1/20/2011	    	                                        	2	1/20/2011	MDENNIS1    
7131	Correct customer unit Units/BUOM        	1/20/2011	    	                                        	2	1/20/2011	ACHENG1     
7132	Chg CTN 152791 revisions on 4 eclipe    	1/21/2011	    	                                        	2	1/21/2011	TTROXEL     
7133	Recipe change - FG                      	1/21/2011	    	                                        	2	1/21/2011	GHAY        
7134	BOM update - FG                         	1/21/2011	    	                                        	2	1/21/2011	GHAY        
7135	Deleting Obsoleted Case 073896.100      	1/21/2011	    	                                        	2	1/21/2011	MDENNIS1    
7136	chg guide 152038.001 to ver.002         	1/21/2011	    	                                        	2	1/21/2011	TTROXEL     
7137	Update spec to match supplier COA       	1/21/2011	    	                                        	2	1/21/2011	JRUSNAK     
7138	Chage formula of Rec# 10453             	1/21/2011	    	                                        	2	1/21/2011	BHARDY      
7139	Cleanse Spec/Rec Input/Output           	1/23/2011	    	                                        	2	1/23/2011	KKLOTTER    
7140	Change Description of 157115.001        	1/23/2011	    	                                        	2	1/23/2011	CLUU        
7141	BOM Update                              	1/24/2011	    	                                        	2	1/24/2011	GHAY        
7142	BOM Update                              	1/24/2011	    	                                        	2	1/24/2011	GHAY        
7143	chg data plant to 94 gal. revision      	1/24/2011	    	                                        	2	1/24/2011	TTROXEL     
7144	correct FSP DIR                         	1/24/2011	    	                                        	2	1/24/2011	DBAYDO      
7145	Chg carton to 94 gal.rev03 on r/13126   	1/24/2011	    	                                        	2	1/24/2011	TTROXEL     
7146	formula update                          	1/24/2011	    	                                        	2	1/24/2011	SFELIZ      
7147	BOM Update                              	1/24/2011	    	                                        	2	1/24/2011	GHAY        
7148	Recipe Identifiers Maintenance          	1/24/2011	    	                                        	2	1/24/2011	MDENNIS1    
7149	revise recipe                           	1/24/2011	    	                                        	2	1/24/2011	WDURLING    
7150	Update new version of DispPanel         	1/24/2011	    	                                        	2	1/24/2011	JWIEGELE    
7151	add alt trig 155836.001 OR 156699.001   	1/24/2011	    	                                        	2	1/24/2011	DBAYDO      
7152	Remove UPC sticker from BOM             	1/24/2011	    	                                        	2	1/24/2011	JWIEGELE    
7153	Revising materials in recipe.  Long     	1/24/2011	    	                                        	2	1/24/2011	RWOOD       
7154	Odorguard is being added to these       	1/25/2011	    	                                        	2	1/25/2011	RMILLER3    
7155	Odorguard is being added to these       	1/25/2011	    	                                        	2	1/25/2011	RMILLER3    
7156	Adding alternate IPA                    	1/25/2011	    	                                        	2	1/25/2011	ADOAN       
7157	chg 112327.013 to .016 on r/15016       	1/25/2011	    	                                        	2	1/25/2011	TTROXEL     
7158	add CU specs to recipes                 	1/25/2011	    	                                        	2	1/25/2011	TCALHOUN    
7159	Edit Specification Part Weight          	1/25/2011	    	                                        	2	1/25/2011	SMENDEL     
7160	Change material width                   	1/25/2011	    	                                        	2	1/25/2011	HCHANG      
7161	Change material dimensions              	1/25/2011	    	                                        	1	1/25/2011	HCHANG      
7162	Change case label                       	1/26/2011	    	                                        	2	1/25/2011	HCHANG      
7163	Update HDL for Winter45 fomrula         	1/26/2011	    	                                        	2	1/26/2011	KSWEENE1    
7164	Change ZPROD description on recipe 14985	1/26/2011	    	                                        	2	1/26/2011	AJONES5     
7165	Change Vanilla SKU to 2-Layer Pallet    	1/26/2011	    	                                        	2	1/26/2011	JWIEGELE    
7166	Adjust EO data in specifications        	1/26/2011	    	                                        	2	1/26/2011	KKLOTTER    
7167	Update Maximum Stack Height             	1/26/2011	    	                                        	2	1/26/2011	JWIEGELE    
7168	add CU specs to recipes                 	1/26/2011	    	                                        	2	1/26/2011	TCALHOUN    
7169	"Nip Tuck 3, Add material no. to pine oil"	1/26/2011	    	"Nip Tuck 3, Add material no. to pine oil"	1	1/26/2011	MCHEN2      
7170	GW LDL (007 cost savings) & Nip Tuck 3 +	1/26/2011	    	add material # to pine oil RM; GW LDL   	2	1/26/2011	MCHEN2      
7171	Align ZUPC data with controlling FERT   	1/26/2011	    	                                        	2	1/26/2011	KKLOTTER    
7172	Added Pallet Bag to Recipe.  Per email  	1/26/2011	    	                                        	2	1/26/2011	RWOOD       
7173	BOM Update - Dye                        	1/27/2011	    	                                        	2	1/27/2011	GHAY        
7174	chg qty of 153166.001 on r/14001        	1/27/2011	    	                                        	2	1/27/2011	TTROXEL     
7175	Change General Item Category to ZVPK    	1/27/2011	    	                                        	2	1/27/2011	JWIEGELE    
7176	"replace 11775 w/14549 on r/12942,12912  "	1/27/2011	    	                                        	2	1/27/2011	TTROXEL     
7177	Change recipe component qty             	1/27/2011	    	                                        	2	1/27/2011	JBECKST2    
7178	GIGO raw material update                	1/27/2011	    	                                        	2	1/27/2011	MHARRIN1    
7179	rmve PA from Reg Blch recipes - Currier 	1/28/2011	    	                                        	2	1/28/2011	DBAYDO      
7180	LSD Recipe Additions                    	1/28/2011	    	                                        	2	1/28/2011	MCOOPER1    
7181	Change weights for Cust Unit and CU     	1/28/2011	    	                                        	2	1/28/2011	JBECKST2    
7182	Update with final data                  	1/28/2011	    	                                        	2	1/28/2011	HCHANG      
7183	Update with final data                  	1/28/2011	    	                                        	1	1/28/2011	HCHANG      
7184	"chg pH limits to: 8.target,7.5min,8.5max"	1/31/2011	    	                                        	2	1/31/2011	DBAYDO      
7185	Update material tolerance and thickness.	1/31/2011	    	                                        	2	1/31/2011	JTODD       
7186	Gigo raw material update                	1/31/2011	    	                                        	2	1/31/2011	CSTETTLE    
7187	update rcp 14707 with new sticker versio	1/31/2011	    	                                        	2	1/31/2011	TTATUM1     
7188	Update CON & CUST weights for data accur	1/31/2011	    	                                        	2	1/31/2011	MTURNER2    
7189	Gigo raw material update                	1/31/2011	    	                                        	2	1/31/2011	CSTETTLE    
7190	Update Benetton PSS LCH spec ranges     	2/1/2011	    	                                        	2	2/1/2011	BELKO       
7191	Gigo raw material update                	2/1/2011	    	                                        	2	2/1/2011	CSTETTLE    
7192	Update with final data                  	2/1/2011	    	                                        	2	2/1/2011	HCHANG      
7193	Combining resin & color specs in colored	2/1/2011	    	                                        	1	2/1/2011	MKWIECIE    
7194	"Combining resin & color specs, premixing"	2/1/2011	    	                                        	2	2/1/2011	MKWIECIE    
7195	Remove SK dimensions                    	2/1/2011	    	                                        	2	2/1/2011	AWHEELIS    
7196	Update qty on rec 15265                 	2/2/2011	    	                                        	2	2/2/2011	ALAVICTO    
7197	correct quanitites                      	2/2/2011	    	                                        	2	2/2/2011	AWHEELIS    
7198	iPlan data corrections to Cust specs to 	2/2/2011	    	                                        	2	2/2/2011	TCALHOUN    
7199	chg min wall thickness to .023 & target 	2/2/2011	    	                                        	2	2/2/2011	DBAYDO      
7200	BOM Update                              	2/2/2011	    	                                        	2	2/2/2011	GHAY        
7201	BOM - Obsolete                          	2/2/2011	    	                                        	2	2/2/2011	GHAY        
7202	"Updating FMs and FM names, Replacing old"	2/2/2011	    	                                        	2	2/2/2011	MDENNIS1    
7203	chg pH limits                           	2/2/2011	    	                                        	2	2/2/2011	DBAYDO      
7204	Gigo raw material update                	2/3/2011	    	                                        	2	2/3/2011	CSTETTLE    
7205	Update specs to reflect production      	2/3/2011	    	                                        	2	2/3/2011	JKEYS       
7206	updating qty of 130368.001 in FM BOM    	2/3/2011	    	                                        	2	2/3/2011	FMCCAIN     
7207	update CU BOM                           	2/3/2011	    	                                        	1	2/3/2011	SKERN       
7208	Edit CU                                 	2/3/2011	    	                                        	1	2/3/2011	SKERN       
7209	Gigo raw material update                	2/3/2011	    	                                        	2	2/3/2011	CSTETTLE    
7210	add fitment dwg                         	2/3/2011	    	                                        	2	2/3/2011	MPALM1      
7211	Update receipe new boot version         	2/4/2011	    	                                        	2	2/4/2011	DPHILLI2    
7212	BOM Updates - PSol-Benetton Mat's added 	2/4/2011	    	                                        	2	2/4/2011	GHAY        
7213	Change units from lb to kg              	2/4/2011	    	                                        	2	2/4/2011	MKWIECIE    
7214	BOM Updates - PSol-Benetton Mat's added 	2/5/2011	    	                                        	2	2/4/2011	GHAY        
7215	chg quantities -Iliff FWA reduction     	2/4/2011	    	                                        	2	2/4/2011	DBAYDO      
7216	Change Customer Unit Identifier         	2/4/2011	    	                                        	2	2/4/2011	JBECKST2    
7217	Gigo raw material update                	2/4/2011	    	                                        	2	2/4/2011	CSTETTLE    
7218	Gigo raw material update                	2/4/2011	    	                                        	2	2/4/2011	CSTETTLE    
7219	Gigo raw material update                	2/4/2011	    	                                        	2	2/4/2011	CSTETTLE    
7220	Gigo raw material update                	2/4/2011	    	                                        	2	2/4/2011	CSTETTLE    
7221	Gigo raw material update                	2/4/2011	    	                                        	2	2/4/2011	CSTETTLE    
7222	Re-release to update Matl Master        	2/4/2011	    	                                        	2	2/4/2011	HCHANG      
7223	Gigo raw material update                	2/4/2011	    	                                        	2	2/4/2011	CSTETTLE    
7224	Repair Misassigned Litter Cus/Con       	2/5/2011	    	                                        	2	2/5/2011	KKLOTTER    
7225	Obsolete Spec/Rec                       	2/6/2011	    	                                        	2	2/6/2011	KKLOTTER    
7226	Correct slipsheet height.  Back in 2008 	2/7/2011	    	                                        	2	2/7/2011	RWOOD       
7227	change concentration of one ingredient  	2/7/2011	    	                                        	2	2/7/2011	SMUDDANA    
7228	Update Glad Trash Cust Unit Max Stacks  	2/7/2011	    	                                        	2	2/7/2011	LFLORES     
7229	Drawtape needs to be entered as an      	2/7/2011	    	                                        	2	2/7/2011	WMCINTYR    
7230	Gigo raw material update                	2/7/2011	    	                                        	2	2/7/2011	CSTETTLE    
7231	Change Number of Disp Panels            	2/7/2011	    	                                        	2	2/7/2011	JWIEGELE    
7232	"update rcp 14549-14551, 14707           "	2/7/2011	    	                                        	2	2/7/2011	TTATUM1     
7233	Removed Header requirement in Packaging 	2/7/2011	    	                                        	2	2/7/2011	FCULANG     
7234	Gigo raw material update                	2/7/2011	    	                                        	2	2/7/2011	CSTETTLE    
7235	chg qty of 112327.016 on r/15016        	2/8/2011	    	                                        	2	2/8/2011	TTROXEL     
7236	chg trigger material                    	2/4/2011	    	                                        	2	2/8/2011	DBAYDO      
7237	change dip tube bend to no bend         	2/8/2011	    	                                        	2	2/8/2011	JSTRATTO    
7238	Cleanse Spec/Rec Descriptions           	2/8/2011	    	                                        	2	2/8/2011	KKLOTTER    
7239	Take out of KOBS and into OKAY          	2/8/2011	    	                                        	2	2/8/2011	NBECKSTE    
7240	Add info to property trees              	2/8/2011	    	                                        	2	2/8/2011	FCULANG     
7241	chg qty on all materials r/14264        	2/9/2011	    	                                        	2	2/9/2011	TTROXEL     
7242	Add correct label spec to recipes       	2/9/2011	    	                                        	2	2/9/2011	PHUNTER     
7243	Cleanse Spec/Rec Descriptions           	2/9/2011	    	                                        	1	2/9/2011	KKLOTTER    
7244	updating FM due to updated information  	2/9/2011	    	                                        	2	2/9/2011	FMCCAIN     
7245	BOM Update - Dye                        	2/9/2011	    	                                        	2	2/9/2011	GHAY        
7246	replace 127288 w 157330 rev open feature	2/9/2011	    	                                        	2	2/9/2011	LFLORES     
7247	rmve RM 022705.008                      	2/9/2011	    	                                        	2	2/9/2011	DBAYDO      
7248	update alt fg recipe                    	2/9/2011	    	                                        	1	2/9/2011	LPIERCE     
7249	change CU                               	2/9/2011	    	                                        	1	2/9/2011	SKERN       
7250	add alt trig 155836.001                 	2/9/2011	    	                                        	2	2/9/2011	DBAYDO      
7251	update alt rec for fg                   	2/9/2011	    	                                        	2	2/9/2011	LPIERCE     
7252	Unit change for RM (from lb to kg)      	2/9/2011	    	                                        	1	2/9/2011	NGONZALE    
7253	Gigo raw material update                	2/9/2011	    	                                        	2	2/9/2011	CSTETTLE    
7254	replace 125070 w 157728 new EBW         	2/9/2011	    	                                        	2	2/9/2011	LFLORES     
7255	chg qty of 139917.001 on r/13619        	2/10/2011	    	                                        	2	2/10/2011	TTROXEL     
7256	update boot usage from 100-->400        	2/10/2011	    	                                        	2	2/10/2011	DPHILLI2    
7257	New raw material addition               	2/10/2011	    	                                        	1	2/10/2011	NGONZALE    
7258	BOM Update                              	2/10/2011	    	                                        	2	2/10/2011	GHAY        
7259	Insert Tie-straps into CU Recipe        	2/10/2011	    	                                        	1	2/10/2011	SKERN       
7260	Update spec 157094                      	2/10/2011	    	                                        	2	2/10/2011	ALAVICTO    
7261	Update recipe 15347                     	2/10/2011	    	                                        	2	2/10/2011	ALAVICTO    
7262	BOM 15378 CHANGE 15308 EA TO CS         	2/10/2011	    	                                        	1	2/10/2011	CLUU        
7263	RECIPE CHANGE : MATERIAL 124510.001 FROM	2/10/2011	    	                                        	1	2/10/2011	CLUU        
7264	RECIPE CHANGE : MATERIAL 124510.001 FROM	2/10/2011	    	                                        	1	2/10/2011	CLUU        
7265	Update spec 157094                      	2/11/2011	    	                                        	2	2/11/2011	ALAVICTO    
7266	Update recipe 15347 - rerelease         	2/11/2011	    	                                        	2	2/11/2011	ALAVICTO    
7267	chg qty on all materials r/14496        	2/11/2011	    	                                        	2	2/11/2011	TTROXEL     
7268	chg qty on all materials r/14392        	2/11/2011	    	                                        	2	2/11/2011	TTROXEL     
7269	Alter label material                    	2/11/2011	    	                                        	2	2/11/2011	JWIEGELE    
7270	Added correct label spec to the recipe  	2/11/2011	    	                                        	2	2/11/2011	PHUNTER     
7271	chg 152038.001 to rev .002 r/14872      	2/11/2011	    	                                        	2	2/11/2011	TTROXEL     
7272	chg 138143.007 to rev .009 r/14878      	2/11/2011	    	                                        	2	2/11/2011	TTROXEL     
7273	rplc RM Frag 025028.003 w/ 152323.001   	2/11/2011	    	                                        	2	2/11/2011	DBAYDO      
7274	Change Material from SBS to CCNB        	2/11/2011	    	                                        	2	2/11/2011	FCULANG     
7275	Update tray material                    	2/14/2011	    	                                        	1	2/14/2011	JWIEGELE    
7276	change case count on pallet             	2/14/2011	    	                                        	2	2/14/2011	JSTRATTO    
7277	Gigo raw material update                	2/14/2011	    	                                        	1	2/14/2011	CSTETTLE    
7278	"123651, 123652, 113851 need odorshield  "	2/15/2011	    	                                        	2	2/15/2011	RMILLER3    
7279	Update BOM with new case art.           	2/15/2011	    	                                        	2	2/15/2011	JWIEGELE    
7280	chg user guide 19329000. to rev .013    	2/15/2011	    	                                        	2	2/15/2011	TTROXEL     
7281	lower FWA using 25 % Peroxide - Iliff   	2/15/2011	    	                                        	2	2/15/2011	DBAYDO      
7282	Update Case Specs                       	2/15/2011	    	                                        	2	2/15/2011	JWIEGELE    
7283	Add FSP                                 	2/15/2011	    	                                        	2	2/15/2011	JWIEGELE    
7284	Replacing Carton                        	2/15/2011	    	                                        	2	2/15/2011	MDENNIS1    
7285	Gigo raw material update                	2/16/2011	    	                                        	2	2/16/2011	CSTETTLE    
7286	"Recipe Identifiers Maintenance, adding  "	2/16/2011	    	                                        	2	2/16/2011	MDENNIS1    
7287	rplc RM 023313.010 w/ 157290.001 -Haymon	2/16/2011	    	                                        	2	2/16/2011	DBAYDO      
7288	update specification table - Haymon     	2/16/2011	    	                                        	2	2/16/2011	DBAYDO      
7289	UpdateHC Pallets w/PSol Benetton items  	2/17/2011	    	                                        	2	2/17/2011	DPHILLI2    
7290	BOM Update                              	2/17/2011	    	                                        	2	2/17/2011	GHAY        
7291	Re-align mismatched ECNs                	2/17/2011	    	                                        	2	2/17/2011	KKLOTTER    
7292	Update with Unilap label                	2/18/2011	    	                                        	2	2/18/2011	DPHILLI2    
7293	New Material for Canadian HE Bleach     	2/18/2011	    	                                        	2	2/18/2011	MCOOPER1    
7294	Brita CSUB rcp Swap in Memo # 153633.001	2/18/2011	    	                                        	2	2/18/2011	MDENNIS1    
7295	Cleanse Recipes and Specs               	2/19/2011	    	                                        	2	2/19/2011	KKLOTTER    
7296	Obsolete Specifications and Recipes     	2/21/2011	    	                                        	2	2/21/2011	KKLOTTER    
7297	Correct VERP Pkg                        	2/21/2011	    	                                        	2	2/21/2011	AWHEELIS    
7298	15427	2/22/2011	    	                                        	2	2/22/2011	LPIERCE     
7299	Epic formula update with Glucopon 420UP 	2/22/2011	    	                                        	1	2/22/2011	SGILL1      
7300	Epic formula update with Glucopon 420UP 	2/22/2011	    	                                        	2	2/22/2011	SGILL1      
7301	change back to what was per KBuckingham 	2/22/2011	    	                                        	2	2/22/2011	JSTRATTO    
7302	Add PA back - B.Currier                 	2/22/2011	    	                                        	2	2/22/2011	DBAYDO      
7303	Update Case Spec                        	2/22/2011	    	                                        	2	2/22/2011	AWHEELIS    
7304	BOM Update                              	2/22/2011	    	                                        	2	2/22/2011	GHAY        
7305	group 019616.001 & 153633.001           	2/22/2011	    	                                        	2	2/22/2011	TTROXEL     
7306	Update CUS Name                         	2/22/2011	    	                                        	2	2/22/2011	JWIEGELE    
7307	replace 19315000 to rev 021.            	2/22/2011	    	                                        	2	2/22/2011	TTROXEL     
7308	Change layflat spec for regulatory capab	2/22/2011	    	                                        	2	2/22/2011	RMILLER3    
7309	chg quantities -BHaymon                 	2/23/2011	    	                                        	2	2/23/2011	DBAYDO      
7310	BOM Update                              	2/24/2011	    	                                        	2	2/23/2011	GHAY        
7311	Add material to recipe.                 	2/23/2011	    	                                        	2	2/23/2011	JTODD       
7312	Update Homestyle Light Specs            	2/23/2011	    	                                        	2	2/23/2011	APATEL2     
7313	remove group 019616.001 & 153633.001    	2/24/2011	    	                                        	1	2/24/2011	TTROXEL     
7314	remove group 019616.001 & 153633.001    	2/24/2011	    	                                        	2	2/24/2011	TTROXEL     
7315	"update rco 11323, 10204, 10205, 10203   "	2/24/2011	    	                                        	2	2/24/2011	TTATUM1     
7316	re-release specs for P5                 	2/24/2011	    	                                        	2	2/24/2011	AWHEELIS    
7317	Update Specifications - Target/Limits   	2/24/2011	    	                                        	2	2/24/2011	SMENDEL     
7318	chg user guide 19315000. to rev .020    	2/24/2011	    	                                        	2	2/24/2011	TTROXEL     
7319	Update Spinach Kit Specs per Tech Transf	2/24/2011	    	                                        	2	2/24/2011	APATEL2     
7320	Updates from Project Soze Tech Transfer 	2/24/2011	    	                                        	1	2/24/2011	BEGGIMAN    
7321	correct quantities on receip            	2/25/2011	    	                                        	2	2/25/2011	DPHILLI2    
7322	update rcp 1419 with new fragrance      	2/25/2011	    	                                        	2	2/25/2011	TTATUM1     
7323	Update MM units/BUOM                    	2/25/2011	    	                                        	2	2/25/2011	AWHEELIS    
7324	Add sustainability info                 	2/25/2011	    	                                        	2	2/25/2011	AWHEELIS    
7325	Names have to be altered and specs have 	2/25/2011	    	                                        	2	2/25/2011	RMILLER3    
7326	Name changes and fragrance addition to  	2/25/2011	    	                                        	1	2/25/2011	RMILLER3    
7327	Add DIR for ASUIS                       	2/25/2011	    	                                        	2	2/25/2011	JWIEGELE    
7328	Update tolerances to match SPI standards	2/25/2011	    	                                        	2	2/25/2011	MTURNER2    
7329	Change out LBL - Ahlstrom               	2/25/2011	    	                                        	2	2/25/2011	SKERN       
7330	Recipe Identifiers Maintenance          	2/25/2011	    	                                        	2	2/25/2011	MDENNIS1    
7331	Change boot to printed shrink           	2/25/2011	    	                                        	2	2/25/2011	JWIEGELE    
7332	Project Soze tech transfer updates      	2/25/2011	    	                                        	2	2/25/2011	BEGGIMAN    
7333	Update Rec w/correct labels             	2/28/2011	    	                                        	2	2/28/2011	LPIERCE     
7334	BOM Update                              	2/28/2011	    	                                        	2	2/28/2011	GHAY        
7335	BOM Update                              	2/28/2011	    	                                        	2	2/28/2011	GHAY        
7336	Update specs for GW and EPIC formulas   	2/28/2011	    	                                        	2	2/28/2011	SGILL1      
7337	Gigo raw material update                	2/28/2011	    	                                        	2	2/28/2011	CSTETTLE    
7338	Update spec 000000156475                	2/28/2011	    	                                        	2	2/28/2011	ALAVICTO    
7339	Update Spec                             	2/28/2011	    	                                        	2	2/28/2011	CLUU        
7340	Update with final data                  	2/28/2011	    	                                        	2	2/28/2011	HCHANG      
7341	update tolerances                       	3/1/2011	    	                                        	2	3/1/2011	AWHEELIS    
7342	Change to Outdoor Specification         	3/1/2011	    	                                        	2	3/1/2011	MCOOPER1    
7343	Update Formula                          	3/1/2011	    	                                        	2	3/1/2011	MTURNER2    
7344	Update Formula to Salsa Ranch           	3/1/2011	    	                                        	1	3/1/2011	MTURNER2    
7345	BOM Update                              	3/1/2011	    	                                        	2	3/1/2011	GHAY        
7346	Tie/HIgh change                         	3/1/2011	    	                                        	2	3/1/2011	MBLACKMO    
7347	Gigo raw material update                	3/1/2011	    	                                        	2	3/1/2011	CSTETTLE    
7348	change header card for post shipper     	3/1/2011	    	                                        	2	3/1/2011	SFELIZ      
7349	Add DIR                                 	3/2/2011	    	                                        	2	3/2/2011	AWHEELIS    
7350	update w/correc CU & ctn mat'l          	3/2/2011	    	                                        	2	3/2/2011	TCALHOUN    
7351	Gigo raw material update                	3/2/2011	    	                                        	2	3/2/2011	CSTETTLE    
7352	Replacing plastic collar with metal one 	3/3/2011	    	                                        	2	3/2/2011	SCATHCAR    
7353	Update specification based on supplier  	3/3/2011	    	                                        	2	3/3/2011	RWOOD       
7354	change case for back to school project  	3/3/2011	    	                                        	2	3/3/2011	SFELIZ      
7355	Description Correction                  	3/3/2011	    	                                        	1	3/3/2011	GHAY        
7356	BOM Update                              	3/3/2011	    	                                        	1	3/3/2011	GHAY        
7357	Update spec 158064                      	3/3/2011	    	                                        	2	3/3/2011	ALAVICTO    
7358	change case to 158384.001               	3/3/2011	    	                                        	2	3/3/2011	AWHEELIS    
7359	Change Materials in RCP 2355 for Tampa  	3/3/2011	    	                                        	2	3/3/2011	TALLEN1     
7360	Need an alternate closure for consumer  	3/3/2011	    	                                        	1	3/3/2011	PSTINSON    
7361	Update Bleach Labels for Givenchy       	3/3/2011	    	                                        	2	3/3/2011	TALLEN1     
7362	Update insert material.                 	3/3/2011	    	                                        	2	3/3/2011	JWIEGELE    
7363	"Reactivate, update name, add 3rd layer  "	3/3/2011	    	                                        	2	3/3/2011	HCHANG      
7364	change rcp 2327-wrong label entered     	3/3/2011	    	                                        	1	3/3/2011	TALLEN1     
7365	Change UL components for increased cases	3/3/2011	    	                                        	2	3/3/2011	HCHANG      
7366	Correct Label in Rcp 2327               	3/4/2011	    	                                        	2	3/3/2011	TALLEN1     
7367	New Raw Mats for project Pepper         	3/3/2011	    	                                        	1	3/3/2011	JSIACUNC    
7368	Gigo raw material update                	3/3/2011	    	                                        	2	3/3/2011	CSTETTLE    
7369	Gigo raw material update                	3/3/2011	    	                                        	2	3/3/2011	CSTETTLE    
7370	Add 117577.001 to r/15426               	3/4/2011	    	                                        	2	3/4/2011	TTROXEL     
7371	Gigo raw material update                	3/4/2011	    	                                        	2	3/4/2011	CSTETTLE    
7372	Case gross and net weights reversed     	3/4/2011	    	                                        	2	3/4/2011	HCHANG      
7373	Update Formula to Salsa Ranch           	3/4/2011	    	                                        	2	3/4/2011	MTURNER2    
7374	Add FSP DIR                             	3/4/2011	    	                                        	2	3/4/2011	HCHANG      
7375	chg user guide 19315000. to rev .021    	3/7/2011	    	                                        	2	3/7/2011	TTROXEL     
7376	Recipe Identifiers Maintenance          	3/7/2011	    	                                        	2	3/7/2011	MDENNIS1    
7377	BOM Update                              	3/7/2011	    	                                        	2	3/7/2011	GHAY        
7378	Update Label Materials                  	3/7/2011	    	                                        	2	3/7/2011	JWIEGELE    
7379	Swap out current artwork versions       	3/7/2011	    	                                        	2	3/7/2011	JWIEGELE    
7380	Correct Dims order                      	3/7/2011	    	                                        	2	3/7/2011	NBECKSTE    
7381	correct dye description                 	3/8/2011	    	                                        	2	3/8/2011	DBAYDO      
7382	Add ASSM-FMP and correct description    	3/8/2011	    	                                        	2	3/8/2011	AWHEELIS    
7383	Update tolerances                       	3/8/2011	    	                                        	2	3/8/2011	AWHEELIS    
7384	move to obsolete status - never produced	3/8/2011	    	                                        	1	3/8/2011	DBAYDO      
7385	Add data to GladW CS specs              	3/8/2011	    	                                        	2	3/8/2011	JBECKST2    
7386	replace 10252 with 13773 on r/10042     	3/9/2011	    	                                        	2	3/9/2011	TTROXEL     
7387	BOM Update - Tray                       	3/9/2011	    	                                        	2	3/9/2011	GHAY        
7388	Update corrugate and label              	3/9/2011	    	                                        	2	3/9/2011	DPHILLI2    
7389	update descr and corrugate              	3/10/2011	    	                                        	2	3/9/2011	DPHILLI2    
7390	update label in CU                      	3/9/2011	    	                                        	2	3/9/2011	DPHILLI2    
7391	Change cartons to New Color Band on Top 	3/9/2011	    	                                        	2	3/9/2011	SWILLIA2    
7392	PDM data cleansing                      	3/9/2011	    	                                        	2	3/9/2011	JBRABAN1    
7393	Gigo raw material update                	3/9/2011	    	                                        	2	3/9/2011	CSTETTLE    
7394	rplc cs with 73667000.007               	3/9/2011	    	                                        	2	3/9/2011	DBAYDO      
7395	update rcp 15468 with new material      	3/9/2011	    	                                        	2	3/9/2011	TTATUM1     
7396	GIGO raw material update                	3/9/2011	    	                                        	2	3/9/2011	EDACONCE    
7397	rplc HA cs with 128364.005              	3/10/2011	    	                                        	2	3/10/2011	DBAYDO      
7398	rplc HA cs with 123907.004              	3/10/2011	    	                                        	2	3/10/2011	DBAYDO      
7399	BOM Update                              	3/10/2011	    	                                        	2	3/10/2011	GHAY        
7400	rplc HA cs with 123906.002              	3/10/2011	    	                                        	2	3/10/2011	DBAYDO      
7401	Gigo raw material update                	3/10/2011	    	                                        	2	3/10/2011	CSTETTLE    
7402	Pkg comp change MMI division to Auto    	3/10/2011	    	                                        	2	3/10/2011	ACHEEMA     
7403	Add CTN cards to r/15547                	3/11/2011	    	                                        	2	3/11/2011	TTROXEL     
7404	change to alt recp to include WIP       	3/11/2011	    	                                        	1	3/11/2011	SFELIZ      
7405	change to alt recp to include WIP       	3/11/2011	    	                                        	2	3/11/2011	SFELIZ      
7406	create ALT for CU using WIP Recipe 5713 	3/11/2011	    	                                        	2	3/11/2011	SFELIZ      
7407	Change to LSD Bleach Recipes            	3/11/2011	    	                                        	2	3/11/2011	MCOOPER1    
